category,type,product_group,brand,product_name,size_mm,size_inch,product_code,length,unit,mrp,selling_price,purchase_price,discount,image_url,is_active
Pipes & Tubing,CPVC,WATER PLUMBING SYSTEM,Astral,WATER PLUMBING SYSTEM,,,M511110301,,pcs,336,336,,,https://images.jdmagicbox.com/quickquotes/images_main/astral-cpvc-pipe-2229719442-6b9d0pqz.jpg,true
Pipes & Tubing,CPVC,WATER PLUMBING SYSTEM,Astral,WATER PLUMBING SYSTEM,,,M511110302,,pcs,450,450,,,https://images.jdmagicbox.com/quickquotes/images_main/astral-cpvc-pipe-2229719442-6b9d0pqz.jpg,true
Pipes & Tubing,CPVC,WATER PLUMBING SYSTEM,Astral,WATER PLUMBING SYSTEM,,,M511110303,,pcs,696,696,,,https://images.jdmagicbox.com/quickquotes/images_main/astral-cpvc-pipe-2229719442-6b9d0pqz.jpg,true
Pipes & Tubing,CPVC,WATER PLUMBING SYSTEM,Astral,WATER PLUMBING SYSTEM,,,M511110304,,pcs,1191,1191,,,https://images.jdmagicbox.com/quickquotes/images_main/astral-cpvc-pipe-2229719442-6b9d0pqz.jpg,true
Pipes & Tubing,CPVC,WATER PLUMBING SYSTEM,Astral,WATER PLUMBING SYSTEM,,,M511110305,,pcs,1635,1635,,,https://images.jdmagicbox.com/quickquotes/images_main/astral-cpvc-pipe-2229719442-6b9d0pqz.jpg,true
Pipes & Tubing,CPVC,WATER PLUMBING SYSTEM,Astral,WATER PLUMBING SYSTEM,,,M511110306,,pcs,2838,2838,,,https://images.jdmagicbox.com/quickquotes/images_main/astral-cpvc-pipe-2229719442-6b9d0pqz.jpg,true
Pipes & Tubing,CPVC,PIPE SDR-11,Astral,PIPE SDR-11,,,M511130301,,pcs,294,294,,,,true
Pipes & Tubing,CPVC,PIPE SDR-11,Astral,PIPE SDR-11,,,M511130302,,pcs,423,423,,,,true
Pipes & Tubing,CPVC,PIPE SDR-11,Astral,PIPE SDR-11,,,M511130303,,pcs,618,618,,,,true
Pipes & Tubing,CPVC,PIPE SDR-11,Astral,PIPE SDR-11,,,M511130304,,pcs,1017,1017,,,,true
Pipes & Tubing,CPVC,PIPE SDR-11,Astral,PIPE SDR-11,,,M511130305,,pcs,1407,1407,,,,true
Pipes & Tubing,CPVC,PIPE SDR-11,Astral,PIPE SDR-11,,,M511130306,,pcs,2388,2388,,,,true
Pipes & Tubing,CPVC,PIPE SDR-13.5,Astral,PIPE SDR-13.5,,,M511400307,,pcs,4875,4875,,,,true
Pipes & Tubing,CPVC,PIPE SDR-13.5,Astral,PIPE SDR-13.5,,,M511400308,,pcs,6594,6594,,,,true
Pipes & Tubing,CPVC,PIPE SDR-13.5,Astral,PIPE SDR-13.5,,,M511400309,,pcs,9567,9567,,,,true
Pipes & Tubing,CPVC,PIPE SDR-13.5,Astral,PIPE SDR-13.5,,,M511400310,,pcs,18090,18090,,,,true
Pipes & Tubing,CPVC,SCHEDULE 40,Astral,PIPE SCHEDULE 40,,,M511110501,,pcs,560,560,,,,true
Pipes & Tubing,CPVC,SCHEDULE 40,Astral,PIPE SCHEDULE 40,,,M511110502,,pcs,750,750,,,,true
Pipes & Tubing,CPVC,SCHEDULE 40,Astral,PIPE SCHEDULE 40,,,M511110503,,pcs,1160,1160,,,,true
Pipes & Tubing,CPVC,SCHEDULE 40,Astral,PIPE SCHEDULE 40,,,M511110504,,pcs,1985,1985,,,,true
Pipes & Tubing,CPVC,SCHEDULE 40,Astral,PIPE SCHEDULE 40,,,M511110505,,pcs,2725,2725,,,,true
Pipes & Tubing,CPVC,SCHEDULE 40,Astral,PIPE SCHEDULE 40,,,M511110506,,pcs,4730,4730,,,,true
Pipes & Tubing,CPVC,PIPE SDR-11,Astral,PIPE SDR-11,,,M511130501,,pcs,490,490,,,,true
Pipes & Tubing,CPVC,PIPE SDR-11,Astral,PIPE SDR-11,,,M511130502,,pcs,705,705,,,,true
Pipes & Tubing,CPVC,PIPE SDR-11,Astral,PIPE SDR-11,,,M511130503,,pcs,1030,1030,,,,true
Pipes & Tubing,CPVC,PIPE SDR-11,Astral,PIPE SDR-11,,,M511130504,,pcs,1695,1695,,,,true
Pipes & Tubing,CPVC,PIPE SDR-11,Astral,PIPE SDR-11,,,M511130505,,pcs,2345,2345,,,,true
Pipes & Tubing,CPVC,PIPE SDR-11,Astral,PIPE SDR-11,,,M511130506,,pcs,3980,3980,,,,true
Pipes & Tubing,CPVC,PIPE SDR-13.5,Astral,PIPE SDR-13.5,,,M511400507,,pcs,8125,8125,,,,true
Pipes & Tubing,CPVC,PIPE SDR-13.5,Astral,PIPE SDR-13.5,,,M511400508,,pcs,10990,10990,,,,true
Pipes & Tubing,CPVC,PIPE SDR-13.5,Astral,PIPE SDR-13.5,,,M511400509,,pcs,15945,15945,,,,true
Pipes & Tubing,CPVC,PIPE SDR-13.5,Astral,PIPE SDR-13.5,,,M511400510,,pcs,30150,30150,,,,true
Pipes & Tubing,CPVC,SCHEDULE 40,Astral,PIPE SCHEDULE 40,,,M511090502,,pcs,969,969,,,,true
Pipes & Tubing,CPVC,SCHEDULE 40,Astral,PIPE SCHEDULE 40,,,M511090503,,pcs,1610,1610,,,,true
Pipes & Tubing,CPVC,PIPE CTS SDR 09,Astral,PIPE CTS SDR 09,,,M511090302,,pcs,581,581,,,,true
Pipes & Tubing,CPVC,PIPE CTS SDR 09,Astral,PIPE CTS SDR 09,,,M511090303,,pcs,966,966,,,,true
Pipes & Tubing,CPVC,SCHEDULE 80,Astral,PIPE SCHEDULE 80,,,M511800507,,pcs,11110,11110,,,,true
Pipes & Tubing,CPVC,SCHEDULE 80,Astral,PIPE SCHEDULE 80,,,M511800508,,pcs,14930,14930,,,,true
Pipes & Tubing,CPVC,SCHEDULE 80,Astral,PIPE SCHEDULE 80,,,M511800509,,pcs,22190,22190,,,,true
Pipes & Tubing,CPVC,SCHEDULE 80,Astral,PIPE SCHEDULE 80,,,M511800510,,pcs,46430,46430,,,,true
Pipes & Tubing,CPVC,SCHEDULE 80,Astral,PIPE SCHEDULE 80,,,M511800511,,pcs,73595,73595,,,,true
Pipes & Tubing,CPVC,SCHEDULE 80,Astral,PIPE SCHEDULE 80,,,M511800307,,pcs,6666,6666,,,,true
Pipes & Tubing,CPVC,SCHEDULE 80,Astral,PIPE SCHEDULE 80,,,M511800308,,pcs,8958,8958,,,,true
Pipes & Tubing,CPVC,SCHEDULE 80,Astral,PIPE SCHEDULE 80,,,M511800309,,pcs,13314,13314,,,,true
Pipes & Tubing,CPVC,SCHEDULE 80,Astral,PIPE SCHEDULE 80,,,M511800310,,pcs,27858,27858,,,,true
Pipes & Tubing,CPVC,SCHEDULE 80,Astral,PIPE SCHEDULE 80,,,M511800311,,pcs,44157,44157,,,,true
Fittings,CPVC,Astral Product,Astral,Astral Product,,,M512111001,,pcs,19.5,19.5,,,,true
Fittings,CPVC,Astral Product,Astral,Astral Product,,,M512111002,,pcs,23,23,,,,true
Fittings,CPVC,Astral Product,Astral,Astral Product,,,M512111003,,pcs,37,37,,,,true
Fittings,CPVC,Astral Product,Astral,Astral Product,,,M512111004,,pcs,76,76,,,,true
Fittings,CPVC,Astral Product,Astral,Astral Product,,,M512111005,,pcs,139,139,,,,true
Fittings,CPVC,Astral Product,Astral,Astral Product,,,M512111006,,pcs,286,286,,,,true
Fittings,CPVC,COUPLER-SOC,Astral,COUPLER-SOC,,,M512110501,,pcs,24,24,,,,true
Fittings,CPVC,COUPLER-SOC,Astral,COUPLER-SOC,,,M512110502,,pcs,27,27,,,,true
